Systematic Name,Standard Name,Sgd Alias,Description,gene_link
YAL047C,SPC72,gamma-tubulin complex subunit SPC72|LDB4,"Gamma-tubulin small complex (gamma-TuSC) receptor; recruits the gamma-TuSC complex to the cytoplasmic side of the SPB, connecting nuclear microtubules to the SPB; involved in astral microtubule formation, stabilization, and with Stu2p, anchoring astral MTs at the cytoplasmic face of the SPB, and regulating plus-end MT dynamics; regulated by Cdc5 kinase",<a href='https://www.yeastgenome.org/locus/YAL047C' target='_blank'>YAL047C</a>
YAL047W-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF GEM1/YAL048C",<a href='https://www.yeastgenome.org/locus/YAL047W-A' target='_blank'>YAL047W-A</a>
YAL048C,GEM1,ERMES complex Ca(2+)-binding regulatory GTPase GEM1|GON1,"Outer mitochondrial membrane GTPase, subunit of the ERMES complex; potential regulatory subunit of the ERMES complex that links the ER to mitochondria and may promote inter-organellar calcium and phospholipid exchange as well as coordinating mitochondrial DNA replication and growth; cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria; ortholog of metazoan Miro GTPases",<a href='https://www.yeastgenome.org/locus/YAL048C' target='_blank'>YAL048C</a>
YAL049C,AIM2,protein AIM2,Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor,<a href='https://www.yeastgenome.org/locus/YAL049C' target='_blank'>YAL049C</a>
YAL051W,OAF1,oleate-activated transcription factor OAF1|YAF1,"Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p, which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids, peroxisome organization and biogenesis, activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog, PIP2, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL051W' target='_blank'>YAL051W</a>
YAL053W,FLC2,flavin adenine dinucleotide transporter FLC2|HUF2,"Putative calcium channel involved in calcium release under hypotonic stress; required for uptake of FAD into endoplasmic reticulum; involved in cell wall maintenance; FLC2 has a paralog, YOR365C, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL053W' target='_blank'>YAL053W</a>
YAL054C,ACS1,acetate--CoA ligase 1|FUN44,"Acetyl-coA synthetase isoform; along with Acs2p, acetyl-coA synthetase isoform is the nuclear source of acetyl-coA for histone acetylation; expressed during growth on nonfermentable carbon sources and under aerobic conditions",<a href='https://www.yeastgenome.org/locus/YAL054C' target='_blank'>YAL054C</a>
YAL055W,PEX22,ubiquitin-protein transferase activating protein PEX22|YAF5,Putative peroxisomal membrane protein; required for import of peroxisomal proteins; functionally complements a Pichia pastoris pex22 mutation,<a href='https://www.yeastgenome.org/locus/YAL055W' target='_blank'>YAL055W</a>
YAL056C-A, ,YAL058C-A,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/YAL056C-A' target='_blank'>YAL056C-A</a>
YAL056W,GPB2,KRH1,"Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p, thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog, GPB1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL056W' target='_blank'>YAL056W</a>
YAL058W,CNE1,calnexin|FUN48,"Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p, with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast",<a href='https://www.yeastgenome.org/locus/YAL058W' target='_blank'>YAL058W</a>
YAL059C-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps verified gene ECM1/YAL059W",<a href='https://www.yeastgenome.org/locus/YAL059C-A' target='_blank'>YAL059C-A</a>
YAL059W,ECM1, ,Pre-ribosomal factor involved in 60S ribosomal protein subunit export; associates with the pre-60S particle; shuttles between the nucleus and cytoplasm,<a href='https://www.yeastgenome.org/locus/YAL059W' target='_blank'>YAL059W</a>
YAL060W,BDH1,"BDH|(R,R)-butanediol dehydrogenase","NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source",<a href='https://www.yeastgenome.org/locus/YAL060W' target='_blank'>YAL060W</a>
YAL061W,BDH2,putative dehydrogenase BDH2,Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3,<a href='https://www.yeastgenome.org/locus/YAL061W' target='_blank'>YAL061W</a>
YAL062W,GDH3,FUN51|glutamate dehydrogenase (NADP(+)) GDH3,"NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAL062W' target='_blank'>YAL062W</a>
YAL063C,FLO9,flocculin FLO9,Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation,<a href='https://www.yeastgenome.org/locus/YAL063C' target='_blank'>YAL063C</a>
YAL063C-A, , ,Putative protein of unknown function; identified by expression profiling and mass spectrometry,<a href='https://www.yeastgenome.org/locus/YAL063C-A' target='_blank'>YAL063C-A</a>
YAL064C-A,TDA8,YAL065C-A,Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene,<a href='https://www.yeastgenome.org/locus/YAL064C-A' target='_blank'>YAL064C-A</a>
YAL064W, , ,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments",<a href='https://www.yeastgenome.org/locus/YAL064W' target='_blank'>YAL064W</a>
YAL064W-B, , ,Fungal-specific protein of unknown function,<a href='https://www.yeastgenome.org/locus/YAL064W-B' target='_blank'>YAL064W-B</a>
YAL065C, , ,Putative protein of unknown function; shows sequence similarity to FLO1 and other flocculins,<a href='https://www.yeastgenome.org/locus/YAL065C' target='_blank'>YAL065C</a>
YAL066W, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/YAL066W' target='_blank'>YAL066W</a>
YAL067C,SEO1,putative permease SEO1,Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide,<a href='https://www.yeastgenome.org/locus/YAL067C' target='_blank'>YAL067C</a>
YAL067W-A, , ,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",<a href='https://www.yeastgenome.org/locus/YAL067W-A' target='_blank'>YAL067W-A</a>
YAL068C,PAU8,seripauperin PAU8,Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions,<a href='https://www.yeastgenome.org/locus/YAL068C' target='_blank'>YAL068C</a>
YAL068W-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",<a href='https://www.yeastgenome.org/locus/YAL068W-A' target='_blank'>YAL068W-A</a>
YAL069W, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",<a href='https://www.yeastgenome.org/locus/YAL069W' target='_blank'>YAL069W</a>
YAR002C-A,ERP1, ,"Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog, ERP6, that arose from the whole genome duplication",<a href='https://www.yeastgenome.org/locus/YAR002C-A' target='_blank'>YAR002C-A</a>
YAR002W,NUP60,FG-nucleoporin NUP60,FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153,<a href='https://www.yeastgenome.org/locus/YAR002W' target='_blank'>YAR002W</a>
YAR003W,SWD1,COMPASS subunit protein SWD1|CPS50|FUN16|SAF49,Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7,<a href='https://www.yeastgenome.org/locus/YAR003W' target='_blank'>YAR003W</a>
YAR007C,RFA1,BUF2|FUN3|replication factor A subunit protein RFA1|RPA1|RPA70,"Subunit of heterotrimeric Replication Protein A (RPA); RPA is a highly conserved single-stranded DNA binding protein involved in DNA replication, repair, and recombination; RPA protects against inappropriate telomere recombination, and upon telomere uncapping, prevents cell proliferation by a checkpoint-independent pathway; role in DNA catenation/decatenation pathway of chromosome disentangling; relocalizes to the cytosol in response to hypoxia",<a href='https://www.yeastgenome.org/locus/YAR007C' target='_blank'>YAR007C</a>
YAR008W,SEN34,FUN4|tRNA splicing endonuclease subunit SEN34,"Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p, Sen15p, Sen34p, and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease",<a href='https://www.yeastgenome.org/locus/YAR008W' target='_blank'>YAR008W</a>
YAR014C,BUD14,protein phosphatase regulator BUD14,"Protein involved in bud-site selection; Bud14p-Glc7p complex is a cortical regulator of dynein; forms a complex with Kel1p and Kel2p that regulates Bnr1p (formin) to affect actin cable assembly, cytokinesis, and polarized growth; diploid mutants display a random budding pattern instead of the wild-type bipolar pattern; relative distribution to the nucleus increases upon DNA replication stress",<a href='https://www.yeastgenome.org/locus/YAR014C' target='_blank'>YAR014C</a>
YAR015W,ADE1,phosphoribosylaminoimidazolesuccinocarboxamide synthase,N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress,<a href='https://www.yeastgenome.org/locus/YAR015W' target='_blank'>YAR015W</a>
YAR018C,KIN3,FUN52|NPK1|serine/threonine protein kinase KIN3,Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol,<a href='https://www.yeastgenome.org/locus/YAR018C' target='_blank'>YAR018C</a>
YAR019C,CDC15,LYT1|RLT1|serine/threonine protein kinase CDC15,"Hippo-like kinase of the Mitotic Exit Network; promotes exit by activating the Dbf2p kinase; component of a non-canonical Hippo pathway with Sps1p required for prospore membrane closure, spindle disassembly and sustained release of Cdc14p during meiotic anaphase II; complexes with Sps1p and contributes to its phosphorylation; phosphorylates the RNAPII CTD during mitosis; localizes to the bud neck and SPB during anaphase and telophase; relocalizes to the cytoplasm upon DNA replication stress",<a href='https://www.yeastgenome.org/locus/YAR019C' target='_blank'>YAR019C</a>
YAR019W-A, , ,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF CDC15/YAR019C",<a href='https://www.yeastgenome.org/locus/YAR019W-A' target='_blank'>YAR019W-A</a>
YAR020C,PAU7,seripauperin PAU7,"Member of the seripauperin multigene family; active during alcoholic fermentation, regulated by anaerobiosis, inhibited by oxygen, repressed by heme",<a href='https://www.yeastgenome.org/locus/YAR020C' target='_blank'>YAR020C</a>
YAR023C, ,DUP240 family protein,Putative integral membrane protein; member of DUP240 gene family,<a href='https://www.yeastgenome.org/locus/YAR023C' target='_blank'>YAR023C</a>
YAR027W,UIP3,DUP240 family protein UIP3,Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family,<a href='https://www.yeastgenome.org/locus/YAR027W' target='_blank'>YAR027W</a>
YAR028W, ,DUP240 family protein,Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS,<a href='https://www.yeastgenome.org/locus/YAR028W' target='_blank'>YAR028W</a>
